RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,52,1000,True,False,False,False,44.0,37.0,25.0,52.0,52.0,52.0,2,1,5,8,12,0,0,7,7,0.16666666666666666,0.08333333333333333,-0.16666666666666666,0.08333333333333333,0,0,0,0,0
1,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,65,1001,True,False,False,False,65.0,51.0,62.0,65.0,65.0,65.0,4,4,4,12,12,0,0,7,7,0.3333333333333333,0.3333333333333333,-0.25,0.4166666666666667,0,0,0,0,0
2,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,51,1002,True,False,False,False,5.0,51.0,32.0,51.0,51.0,51.0,0,4,5,9,12,0,0,7,7,0.0,0.3333333333333333,-0.16666666666666666,0.16666666666666666,0,0,0,0,0
3,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,76,1003,True,False,False,False,37.0,66.0,76.0,76.0,76.0,76.0,2,3,5,10,12,0,0,7,7,0.16666666666666666,0.25,-0.16666666666666666,0.25,0,0,0,0,0
4,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,49,1004,True,False,False,False,7.0,46.0,49.0,49.0,49.0,49.0,0,2,6,8,12,0,0,7,7,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0,0,0,0,0
5,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,70,1005,True,False,False,False,54.0,50.0,70.0,70.0,70.0,70.0,2,3,5,10,12,0,0,7,7,0.16666666666666666,0.25,-0.16666666666666666,0.25,0,0,0,0,0
6,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,55,1006,True,False,False,False,39.0,26.0,55.0,55.0,55.0,55.0,2,1,6,9,12,0,0,7,7,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.16666666666666666,0,0,0,0,0
7,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,1000,1007,False,True,True,True,10.0,,18.0,,,1000.0,0,3,4,7,12,0,0,7,7,0.0,0.25,-0.25,0.0,0,3,0,3,27
8,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,55,1008,True,False,False,False,17.0,14.0,55.0,55.0,55.0,55.0,0,2,6,8,12,0,0,7,7,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0,0,0,0,0
9,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,58,1009,True,False,False,False,50.0,58.0,19.0,58.0,58.0,58.0,2,5,3,10,12,0,0,7,7,0.16666666666666666,0.4166666666666667,-0.3333333333333333,0.25,0,0,0,0,0
10,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",3,3,3,4,4,4,54,1010,True,False,False,False,12.0,54.0,16.0,54.0,54.0,54.0,0,6,4,10,12,0,0,7,7,0.0,0.5,-0.25,0.25,0,0,0,0,0
