RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,325,3000,True,False,False,False,248.0,325.0,306.0,325.0,325.0,325.0,3,1,25,29,45,1,0,26,27,0.044444444444444446,0.022222222222222223,-0.022222222222222223,0.044444444444444446,0,0,0,0,0
1,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,323,3001,True,False,False,False,140.0,323.0,177.0,323.0,323.0,323.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
2,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,259,3002,True,False,False,False,259.0,172.0,229.0,259.0,259.0,259.0,5,2,24,31,45,1,0,26,27,0.08888888888888889,0.044444444444444446,-0.044444444444444446,0.08888888888888889,0,0,0,0,0
3,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,287,3003,True,False,False,False,193.0,252.0,287.0,287.0,287.0,287.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
4,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,395,3004,True,False,False,False,194.0,150.0,395.0,395.0,395.0,395.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
5,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,511,3005,True,False,False,False,279.0,229.0,511.0,511.0,511.0,511.0,3,1,24,28,45,1,0,26,27,0.044444444444444446,0.022222222222222223,-0.044444444444444446,0.022222222222222223,0,0,0,0,0
6,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,210,3006,True,False,False,False,194.0,148.0,210.0,210.0,210.0,210.0,5,2,24,31,45,1,0,26,27,0.08888888888888889,0.044444444444444446,-0.044444444444444446,0.08888888888888889,0,0,0,0,0
7,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,403,3007,True,False,False,False,395.0,291.0,403.0,403.0,403.0,403.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
8,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,250,3008,True,False,False,False,94.0,182.0,250.0,250.0,250.0,250.0,1,2,25,28,45,1,0,26,27,0.0,0.044444444444444446,-0.022222222222222223,0.022222222222222223,0,0,0,0,0
9,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,308,3009,True,False,False,False,120.0,193.0,178.0,308.0,308.0,308.0,1,2,25,28,45,1,0,26,27,0.0,0.044444444444444446,-0.022222222222222223,0.022222222222222223,0,0,0,0,0
10,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,282,3010,True,False,False,False,282.0,155.0,279.0,282.0,282.0,282.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
11,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,295,3011,True,False,False,False,127.0,88.0,295.0,295.0,295.0,295.0,1,2,25,28,45,1,0,26,27,0.0,0.044444444444444446,-0.022222222222222223,0.022222222222222223,0,0,0,0,0
12,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,332,3012,True,False,False,False,272.0,164.0,332.0,332.0,332.0,332.0,3,1,25,29,45,1,0,26,27,0.044444444444444446,0.022222222222222223,-0.022222222222222223,0.044444444444444446,0,0,0,0,0
13,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,363,3013,True,False,False,False,363.0,204.0,310.0,363.0,363.0,363.0,5,2,24,31,45,1,0,26,27,0.08888888888888889,0.044444444444444446,-0.044444444444444446,0.08888888888888889,0,0,0,0,0
14,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,380,3014,True,False,False,False,150.0,107.0,380.0,380.0,380.0,380.0,1,2,25,28,45,1,0,26,27,0.0,0.044444444444444446,-0.022222222222222223,0.022222222222222223,0,0,0,0,0
15,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,241,3015,True,False,False,False,171.0,219.0,241.0,241.0,241.0,241.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
16,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,1089,3016,True,False,False,False,196.0,273.0,1089.0,1089.0,1089.0,1089.0,5,4,23,32,45,1,0,26,27,0.08888888888888889,0.08888888888888889,-0.06666666666666667,0.1111111111111111,0,0,0,0,0
17,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",6,6,6,15,15,15,328,3017,True,False,False,False,304.0,258.0,328.0,328.0,328.0,328.0,3,1,25,29,45,1,0,26,27,0.044444444444444446,0.022222222222222223,-0.022222222222222223,0.044444444444444446,0,0,0,0,0
