RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,220,4000,True,False,False,False,220.0,108.0,153.0,220.0,220.0,220.0,8,9,25,42,54,0,1,31,32,0.14814814814814814,0.14814814814814814,-0.1111111111111111,0.18518518518518517,0,0,0,0,0
1,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,319,4001,True,False,False,False,319.0,172.0,168.0,319.0,319.0,319.0,6,10,25,41,54,0,1,31,32,0.1111111111111111,0.16666666666666666,-0.1111111111111111,0.16666666666666666,0,0,0,0,0
2,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,192,4002,True,False,False,False,144.0,134.0,192.0,192.0,192.0,192.0,4,3,29,36,54,0,1,31,32,0.07407407407407407,0.037037037037037035,-0.037037037037037035,0.07407407407407407,0,0,0,0,0
3,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,201,4003,True,False,False,False,167.0,177.0,201.0,201.0,201.0,201.0,6,10,25,41,54,0,1,31,32,0.1111111111111111,0.16666666666666666,-0.1111111111111111,0.16666666666666666,0,0,0,0,0
4,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,202,4004,True,False,False,False,124.0,160.0,202.0,202.0,202.0,202.0,6,4,27,37,54,0,1,31,32,0.1111111111111111,0.05555555555555555,-0.07407407407407407,0.09259259259259259,0,0,0,0,0
5,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,147,4005,True,False,False,False,113.0,147.0,140.0,147.0,147.0,147.0,6,8,26,40,54,0,1,31,32,0.1111111111111111,0.12962962962962962,-0.09259259259259259,0.14814814814814814,0,0,0,0,0
6,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,166,4006,True,False,False,False,119.0,130.0,166.0,166.0,166.0,166.0,4,9,26,39,54,0,1,31,32,0.07407407407407407,0.14814814814814814,-0.09259259259259259,0.12962962962962962,0,0,0,0,0
7,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,186,4007,True,False,False,False,166.0,186.0,160.0,186.0,186.0,186.0,6,8,26,40,54,0,1,31,32,0.1111111111111111,0.12962962962962962,-0.09259259259259259,0.14814814814814814,0,0,0,0,0
8,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,200,4008,True,False,False,False,125.0,160.0,200.0,200.0,200.0,200.0,8,9,24,41,54,0,1,31,32,0.14814814814814814,0.14814814814814814,-0.12962962962962962,0.16666666666666666,0,0,0,0,0
9,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,132,4009,True,False,False,False,127.0,105.0,132.0,132.0,132.0,132.0,6,8,25,39,54,0,1,31,32,0.1111111111111111,0.12962962962962962,-0.1111111111111111,0.12962962962962962,0,0,0,0,0
10,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,152,4010,True,False,False,False,152.0,149.0,137.0,152.0,152.0,152.0,8,3,28,39,54,0,1,31,32,0.14814814814814814,0.037037037037037035,-0.05555555555555555,0.12962962962962962,0,0,0,0,0
11,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,176,4011,True,False,False,False,132.0,176.0,146.0,176.0,176.0,176.0,6,4,27,37,54,0,1,31,32,0.1111111111111111,0.05555555555555555,-0.07407407407407407,0.09259259259259259,0,0,0,0,0
12,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,149,4012,True,False,False,False,104.0,146.0,149.0,149.0,149.0,149.0,2,12,25,39,54,0,1,31,32,0.037037037037037035,0.2037037037037037,-0.1111111111111111,0.12962962962962962,0,0,0,0,0
13,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,604,4013,True,False,False,False,604.0,183.0,196.0,604.0,604.0,604.0,4,7,27,38,54,0,1,31,32,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
14,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,1000,4014,False,True,True,True,124.0,147.0,,,,1000.0,2,6,27,35,54,0,1,31,32,0.037037037037037035,0.09259259259259259,-0.07407407407407407,0.05555555555555555,0,0,1,1,8
15,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,225,4015,True,False,False,False,109.0,133.0,225.0,225.0,225.0,225.0,4,7,27,38,54,0,1,31,32,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
16,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,176,4016,True,False,False,False,118.0,169.0,176.0,176.0,176.0,176.0,6,10,24,40,54,0,1,31,32,0.1111111111111111,0.16666666666666666,-0.12962962962962962,0.14814814814814814,0,0,0,0,0
17,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,167,4017,True,False,False,False,124.0,120.0,167.0,167.0,167.0,167.0,4,11,25,40,54,0,1,31,32,0.07407407407407407,0.18518518518518517,-0.1111111111111111,0.14814814814814814,0,0,0,0,0
18,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,127,4018,True,False,False,False,127.0,101.0,123.0,127.0,127.0,127.0,4,7,27,38,54,0,1,31,32,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
19,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",14,14,14,18,18,18,191,4019,True,False,False,False,128.0,137.0,191.0,191.0,191.0,191.0,6,6,27,39,54,0,1,31,32,0.1111111111111111,0.09259259259259259,-0.07407407407407407,0.12962962962962962,0,0,0,0,0
