config,policy,cleaned_rate,median_step_all_zero_effective,median_compaction_ratio_total,timed_out_rate,possible_deadlock_rate,n_runs,summary_path
cfg1,no_communication,1.0,57.0,0.1666666666666666,0.0,0.0,20,Appendix\cfg1\no_communication\batch_20260406_224813\summary.csv
cfg2,no_communication,0.95,627.0,0.09259259259259256,0.05,0.05,20,Appendix\cfg2\no_communication\batch_20260406_225639\summary.csv
cfg3,no_communication,1.0,315.5,0.0666666666666666,0.0,0.0,20,Appendix\cfg3\no_communication\batch_20260406_231819\summary.csv
cfg4,no_communication,1.0,216.0,0.1111111111111111,0.0,0.0,20,Appendix\cfg4\no_communication\batch_20260406_232222\summary.csv
cfg5,no_communication,1.0,517.5,0.08095238095238094,0.0,0.0,20,Appendix\cfg5\no_communication\batch_20260406_232651\summary.csv
cfg1,widespread,1.0,57.5,0.20833333333333331,0.0,0.0,20,Appendix\cfg1\widespread\batch_20260406_224828\summary.csv
cfg2,widespread,0.9,380.0,0.1296296296296296,0.1,0.1,20,Appendix\cfg2\widespread\batch_20260406_230349\summary.csv
cfg3,widespread,1.0,214.0,0.0888888888888888,0.0,0.0,20,Appendix\cfg3\widespread\batch_20260406_231931\summary.csv
cfg4,widespread,0.95,188.5,0.1296296296296296,0.05,0.05,20,Appendix\cfg4\widespread\batch_20260406_232328\summary.csv
cfg5,widespread,0.7,463.5,0.0857142857142857,0.3,0.3,20,Appendix\cfg5\widespread\batch_20260406_233306\summary.csv
cfg1,smart_explo_10,0.95,60.5,0.25,0.05,0.05,20,Appendix\cfg1\smart_explo_10\batch_20260406_224841\summary.csv
cfg2,smart_explo_10,0.9,344.5,0.1296296296296296,0.1,0.1,20,Appendix\cfg2\smart_explo_10\batch_20260406_230715\summary.csv
cfg3,smart_explo_10,0.85,257.0,0.0777777777777777,0.15,0.15,20,Appendix\cfg3\smart_explo_10\batch_20260406_232018\summary.csv
cfg4,smart_explo_10,1.0,209.0,0.1481481481481481,0.0,0.0,20,Appendix\cfg4\smart_explo_10\batch_20260406_232425\summary.csv
cfg5,smart_explo_10,0.7,418.0,0.10952380952380944,0.3,0.3,20,Appendix\cfg5\smart_explo_10\batch_20260406_234007\summary.csv
cfg1,smart_explo_30,0.95,57.0,0.25,0.05,0.05,20,Appendix\cfg1\smart_explo_30\batch_20260406_224905\summary.csv
cfg2,smart_explo_30,0.95,373.0,0.1481481481481481,0.05,0.05,20,Appendix\cfg2\smart_explo_30\batch_20260406_231307\summary.csv
cfg3,smart_explo_30,0.85,238.0,0.0888888888888888,0.15,0.15,20,Appendix\cfg3\smart_explo_30\batch_20260406_232116\summary.csv
cfg4,smart_explo_30,0.9,179.5,0.1296296296296296,0.1,0.1,20,Appendix\cfg4\smart_explo_30\batch_20260406_232520\summary.csv
cfg5,smart_explo_30,0.65,459.0,0.09047619047619046,0.35,0.3,20,Appendix\cfg5\smart_explo_30\batch_20260406_234858\summary.csv
